Університет,Кількість заяв
Національний університет «Львівська політехніка»,27985
Київський національний університет імені Тараса Шевченка,27618
Львівський національний університет імені Івана Франка,27351
Національний технічний університет України «Київський політехнічний інститут імені Ігоря Сікорського»,27288
Національний авіаційний університет,18254
Державний вищий навчальний заклад «Київський національний економічний університет імені Вадима Гетьмана»,13015
Чернівецький національний університет імені Юрія Федьковича,12522
Державний торговельно-економічний університет,12305
Національний університет біоресурсів і природокористування України,11109
Прикарпатський національний університет імені Василя Стефаника,10608
